"Riffell Lab",7/19/2018
"Timezone",-7

"Serial No.","6700000048751741"
"Location:",""
"High temperature limit (°C)",30.1
"Low temperature limit (°C)",0.02
"High humidity limit (°C)",80
"Low humidity limit (°C)",40.1
"Date - Time","Temperature (°C)","Humidity %"
43292.75696,23.9119,54.94
43292.75904,23.9119,54.94
43292.76112,25.3496,55.38
43292.76321,26.3495,51.68
43292.76529,26.7869,51.61
43292.76737,26.9743,50.63
43292.76946,27.5990,49.73
43292.77154,27.1617,48.72
43292.77362,27.1617,49.07
43292.77571,26.8494,47.95
43292.77779,26.8494,48.26
43292.77987,26.9118,47.21
43292.78196,27.4741,47.39
43292.78404,28.0362,46.08
43292.78612,29.0354,45.36
43292.78821,29.8471,44.19
43292.79029,30.1592,43.47
43292.79237,30.0968,43.26
43292.79446,29.8471,42.44
43292.79654,29.4725,41.80
43292.79862,29.0979,41.71
43292.80071,29.0354,41.95
43292.80279,29.2852,42.45
43292.80487,29.6598,40.94
43292.80696,29.7222,40.70
43292.80904,29.5349,40.64
43292.81112,30.6586,40.57
43292.81321,30.3465,40.81
43292.81529,29.9720,41.05
43292.81737,29.6598,41.58
43292.81946,29.8471,41.04
43292.82154,30.1592,40.67
43292.82362,29.8471,40.84
43292.82571,29.7847,40.51
43292.82779,29.4725,40.51
43292.82987,29.0979,41.47
43292.83196,28.5983,40.62
43292.83404,28.5359,41.21
43292.83612,29.6598,41.21
43292.83821,29.2852,40.69
43292.84029,29.4101,41.31
43292.84237,28.9106,42.45
43292.84446,28.7232,43.86
43292.84654,30.2217,45.73
43292.84862,30.0344,49.08
43292.85071,30.0344,49.62
43292.85279,29.4101,50.09
43292.85487,29.3476,50.66
43292.85696,28.9106,50.34
43292.85904,29.4725,50.75
43292.86112,28.9106,50.80
43292.86321,28.7232,50.51
43292.86529,28.7232,50.47
43292.86737,28.6608,50.66
43292.86946,27.5990,50.66
43292.87154,26.9743,51.36
43292.87362,26.7869,51.38
43292.87571,26.9118,52.58
43292.87779,27.0993,53.40
43292.87987,27.7239,53.62
43292.88196,27.9113,52.95
43292.88404,27.6615,51.51
43292.88612,27.5365,51.19
43292.88821,27.2242,51.20
43292.89029,26.9743,50.21
