% SensorRevision=2013-02-26 15:04
% SerialNumber=111002
% LaserColor=Blue
% AutoBaselineEnabled=true
% AutoBaselineStart=3
% AutoBaselineInterval=10
% AutoBaselineAveragingTime=10
% AutoBaselineFlushTime=45
% AutoSaveEnabled=true
% AutoSaveInterval=5
% ExactSampleTime=0.88
%       7     744    3280       1
%    3742      15      10      45
%      10       3       5       3
%   20000    2.50  834.00   98.81
%  -85.92   77.00   27.60     0.0
%     0.0     0.0     0.0     1.0
%     1.2  431.79    0.10  -27.80
%  142.30      10       4  111002
IgorTime,NO2,RawLoss,Pressure,Temperature,Signal,Unused,Status,LastBaseline,Timestamp
3602744393,1.585,456.350,725.06,313.82,-5072.13,130.79, 10004,431.788,2018/07/26 08:24:09
3602744394,1.541,456.307,725.12,313.82,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:10
3602744395,1.482,456.244,725.06,313.82,-5103.84,130.79, 10004,431.788,2018/07/26 08:24:11
3602744396,1.515,456.278,725.06,313.82,-5103.84,130.79, 10004,431.788,2018/07/26 08:24:12
3602744397,1.597,456.364,725.12,313.82,-5103.84,130.79, 10004,431.788,2018/07/26 08:24:13
3602744398,1.495,456.260,725.12,313.82,-5103.84,130.79, 10004,431.788,2018/07/26 08:24:14
3602744399,1.566,456.333,725.12,313.82,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:15
3602744400,1.571,456.338,725.12,313.82,-5103.04,130.78, 10004,431.788,2018/07/26 08:24:16
3602744401,1.592,456.357,725.06,313.82,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:17
3602744402,1.580,456.345,725.06,313.82,-5103.84,130.79, 10004,431.788,2018/07/26 08:24:18
3602744403,1.546,456.311,725.12,313.82,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:19
3602744404,1.575,456.341,725.12,313.83,-5103.84,130.79, 10004,431.788,2018/07/26 08:24:20
3602744405,1.534,456.299,725.12,313.83,-5103.84,130.78, 10004,431.788,2018/07/26 08:24:21
3602744406,1.524,456.289,725.12,313.83,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:22
3602744407,1.598,456.365,725.12,313.83,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:23
3602744408,1.570,456.335,725.12,313.84,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:24
3602744409,1.545,456.310,725.12,313.83,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:25
3602744410,1.566,456.329,725.06,313.84,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:26
3602744411,1.633,456.400,725.12,313.84,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:27
3602744412,1.574,456.340,725.12,313.84,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:28
3602744413,1.643,456.411,725.12,313.84,-5103.84,130.79, 10004,431.788,2018/07/26 08:24:29
3602744414,1.668,456.437,725.12,313.84,-5103.04,130.79, 10004,431.788,2018/07/26 08:24:30
3602744415,1.752,456.523,725.12,313.84,-5102.25,130.78, 10004,431.788,2018/07/26 08:24:31
3602744416,1.926,456.701,725.12,313.84,-5101.46,130.78, 10004,431.788,2018/07/26 08:24:32
3602744417,1.991,456.768,725.12,313.84,-5099.87,130.78, 10004,431.788,2018/07/26 08:24:33
3602744418,2.057,456.839,725.19,313.84,-5099.87,130.79, 10004,431.788,2018/07/26 08:24:34
3602744419,2.263,457.049,725.12,313.84,-5098.29,130.79, 10004,431.788,2018/07/26 08:24:35
3602744420,2.154,456.936,725.12,313.85,-5098.29,130.79, 10004,431.788,2018/07/26 08:24:36
3602744421,2.077,456.857,725.12,313.84,-5098.29,130.79, 10004,431.788,2018/07/26 08:24:37
3602744422,2.072,456.852,725.12,313.84,-5097.50,130.78, 10004,431.788,2018/07/26 08:24:38
3602744423,2.074,456.854,725.12,313.84,-5098.29,130.79, 10004,431.788,2018/07/26 08:24:39
3602744424,1.906,456.681,725.12,313.84,-5099.08,130.79, 10004,431.788,2018/07/26 08:24:40
3602744425,1.799,456.571,725.12,313.85,-5099.87,130.78, 10004,431.788,2018/07/26 08:24:41
