% SensorRevision=2013-02-26 15:04
% SerialNumber=111002
% LaserColor=Blue
% AutoBaselineEnabled=false
% AutoBaselineStart=3
% AutoBaselineInterval=10
% AutoBaselineAveragingTime=10
% AutoBaselineFlushTime=45
% AutoSaveEnabled=true
% AutoSaveInterval=5
% ExactSampleTime=0.88
%       7     744    3280       1
%    3742      15      10      45
%      10       3       5       3
%   20000    2.50  834.00   98.81
%  -85.92   77.00   27.60     0.0
%     0.0     0.0     0.0     1.0
%     1.2  432.76    0.10  -27.80
%  142.30      10       4  111002
IgorTime,NO2,RawLoss,Pressure,Temperature,Signal,Unused,Status,LastBaseline,Timestamp
3602714414,2.251,457.811,726.38,316.90,-5057.86,131.72, 00004,432.763,2018/07/26 21:26:59
3602714415,2.207,457.766,726.38,316.90,-5087.98,131.73, 00004,432.763,2018/07/26 21:27:00
3602714416,2.296,457.857,726.38,316.90,-5088.78,131.72, 00004,432.763,2018/07/26 21:27:01
3602714417,2.337,457.899,726.38,316.90,-5089.57,131.72, 00004,432.763,2018/07/26 21:27:02
3602714418,2.268,457.826,726.31,316.91,-5089.57,131.72, 00004,432.763,2018/07/26 21:27:03
3602714419,2.293,457.852,726.31,316.90,-5089.57,131.72, 00004,432.763,2018/07/26 21:27:04
3602714420,2.354,457.916,726.38,316.90,-5088.78,131.73, 00004,432.763,2018/07/26 21:27:05
3602714421,2.367,457.927,726.31,316.90,-5088.78,131.72, 00004,432.763,2018/07/26 21:27:06
3602714422,2.452,457.873,722.21,316.89,-5093.53,131.72, 10004,432.763,2018/07/26 21:27:07
3602714423,1.722,457.132,722.21,316.87,-5077.68,131.73, 10004,432.763,2018/07/26 21:27:08
3602714424,1.164,456.566,722.15,316.83,-5093.53,131.73, 10004,432.763,2018/07/26 21:27:09
3602714425,.901,456.307,722.28,316.78,-5097.50,131.72, 10004,432.763,2018/07/26 21:27:10
3602714426,1.384,456.799,722.21,316.74,-5098.29,131.73, 10004,432.763,2018/07/26 21:27:11
3602714427,2.174,457.605,722.21,316.70,-5091.15,131.73, 10004,432.763,2018/07/26 21:27:12
3602714428,2.560,458.001,722.21,316.66,-5084.81,131.73, 10004,432.763,2018/07/26 21:27:13
3602714429,2.259,457.695,722.15,316.62,-5084.02,131.72, 10004,432.763,2018/07/26 21:27:14
3602714430,1.719,457.149,722.15,316.59,-5087.98,131.72, 10004,432.763,2018/07/26 21:27:15
3602714431,1.147,456.568,722.08,316.55,-5091.95,131.72, 10004,432.763,2018/07/26 21:27:16
3602714432,.582,455.997,722.15,316.53,-5097.50,131.72, 10004,432.763,2018/07/26 21:27:17
3602714433,.129,455.538,722.15,316.50,-5103.04,131.72, 10004,432.763,2018/07/26 21:27:18
3602714434,-.194,455.211,722.15,316.47,-5106.21,131.72, 10004,432.763,2018/07/26 21:27:19
3602714435,-.389,455.015,722.15,316.44,-5108.59,131.72, 10004,432.763,2018/07/26 21:27:20
3602714436,-.421,454.984,722.15,316.42,-5110.18,131.72, 10004,432.763,2018/07/26 21:27:21
3602714437,-.556,454.849,722.15,316.40,-5110.97,131.72, 10004,432.763,2018/07/26 21:27:22
3602714438,-.662,454.741,722.15,316.38,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:23
3602714439,-.702,454.705,722.21,316.36,-5111.76,131.72, 10004,432.763,2018/07/26 21:27:24
3602714440,-.769,454.638,722.21,316.34,-5111.76,131.72, 10004,432.763,2018/07/26 21:27:25
3602714441,-.746,454.663,722.21,316.31,-5112.56,131.72, 10004,432.763,2018/07/26 21:27:26
3602714442,-.763,454.646,722.21,316.30,-5112.56,131.72, 10004,432.763,2018/07/26 21:27:27
3602714443,-.751,454.660,722.21,316.28,-5112.56,131.71, 10004,432.763,2018/07/26 21:27:28
3602714444,-.722,454.690,722.21,316.27,-5111.76,131.72, 10004,432.763,2018/07/26 21:27:29
3602714445,-.763,454.650,722.21,316.25,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:30
3602714446,-.773,454.640,722.21,316.24,-5112.56,131.71, 10004,432.763,2018/07/26 21:27:31
3602714447,-.763,454.650,722.15,316.23,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:32
3602714448,-.787,454.627,722.15,316.21,-5112.56,131.71, 10004,432.763,2018/07/26 21:27:33
3602714449,-.757,454.658,722.15,316.19,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:34
3602714450,-.773,454.644,722.21,316.19,-5112.56,131.71, 10004,432.763,2018/07/26 21:27:35
3602714451,-.764,454.654,722.21,316.17,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:36
3602714452,-.759,454.658,722.15,316.16,-5112.56,131.71, 10004,432.763,2018/07/26 21:27:37
3602714453,-.738,454.682,722.21,316.15,-5111.76,131.72, 10004,432.763,2018/07/26 21:27:38
3602714454,-.648,454.775,722.21,316.14,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:39
3602714455,-.690,454.730,722.15,316.14,-5111.76,131.72, 10004,432.763,2018/07/26 21:27:41
3602714456,-.724,454.699,722.21,316.12,-5112.56,131.71, 10004,432.763,2018/07/26 21:27:42
3602714457,-.704,454.718,722.15,316.11,-5112.56,131.71, 10004,432.763,2018/07/26 21:27:43
3602714458,-.686,454.736,722.15,316.10,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:44
3602714459,-.639,454.785,722.15,316.10,-5111.76,131.70, 10004,432.763,2018/07/26 21:27:45
3602714460,-.738,454.686,722.21,316.09,-5112.56,131.71, 10004,432.763,2018/07/26 21:27:46
3602714461,-.686,454.740,722.21,316.08,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:47
3602714462,-.703,454.724,722.21,316.07,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:48
3602714463,-.710,454.717,722.21,316.06,-5111.76,131.71, 10004,432.763,2018/07/26 21:27:49
