% SensorRevision=2013-02-26 15:04
% SerialNumber=111002
% LaserColor=Blue
% AutoBaselineEnabled=false
% AutoBaselineStart=2129
% AutoBaselineInterval=10
% AutoBaselineAveragingTime=10
% AutoBaselineFlushTime=45
% AutoSaveEnabled=true
% AutoSaveInterval=5
% ExactSampleTime=0.88
%       7     744    3280       1
%    3742      15      10      45
%      10    2129       5       3
%   20000    2.50  834.00   98.81
%  -85.92   77.00   27.60     0.0
%     0.0     0.0     0.0     1.0
%     1.2  432.76    0.10  -27.80
%  142.30      10       4  111002
IgorTime,NO2,RawLoss,Pressure,Temperature,Signal,Unused,Status,LastBaseline,Timestamp
3602714489,-.617,454.825,722.35,315.93,-5154.57,131.69, 10004,432.763,2018/07/26 21:28:14
3602714490,-.528,454.910,722.15,315.93,-5112.56,131.69, 10004,432.763,2018/07/26 21:28:15
3602714491,-.575,454.865,722.21,315.92,-5110.97,131.70, 10004,432.763,2018/07/26 21:28:17
3602714493,-.579,454.865,722.35,315.91,-5057.86,131.70, 10004,432.763,2018/07/26 21:28:18
3602714494,-.595,454.843,722.15,315.91,-5109.38,131.69, 10004,432.763,2018/07/26 21:28:19
3602714495,-.576,454.862,722.15,315.90,-5110.97,131.70, 10004,432.763,2018/07/26 21:28:20
3602714496,-.636,454.801,722.15,315.91,-5110.97,131.70, 10004,432.763,2018/07/26 21:28:21
3602714497,-.531,454.909,722.15,315.90,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:22
3602714498,-.557,454.884,722.21,315.89,-5110.97,131.69, 10004,432.763,2018/07/26 21:28:23
3602714499,-.542,454.898,722.15,315.89,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:24
3602714500,-.535,454.907,722.21,315.89,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:26
3602714501,-.540,454.903,722.21,315.89,-5110.18,131.70, 10004,432.763,2018/07/26 21:28:27
3602714502,-.518,454.923,722.15,315.88,-5110.97,131.69, 10004,432.763,2018/07/26 21:28:28
3602714503,-.541,454.902,722.21,315.88,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:29
3602714504,-.538,454.905,722.21,315.88,-5110.97,131.69, 10004,432.763,2018/07/26 21:28:30
3602714505,-.454,454.991,722.21,315.87,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:31
3602714506,-.506,454.939,722.21,315.87,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:32
3602714507,-.463,454.982,722.21,315.87,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:33
3602714508,-.480,454.966,722.21,315.86,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:34
3602714509,-.483,454.961,722.15,315.86,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:35
3602714510,-.501,454.944,722.21,315.86,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:36
3602714511,-.480,454.966,722.21,315.85,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:37
3602714512,-.515,454.930,722.21,315.85,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:38
3602714513,-.493,454.953,722.21,315.85,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:39
3602714514,-.463,454.983,722.21,315.84,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:40
3602714515,-.502,454.944,722.21,315.84,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:41
3602714516,-.408,455.043,722.28,315.84,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:42
3602714517,-.454,454.992,722.15,315.83,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:43
3602714518,-.491,454.956,722.21,315.83,-5104.63,131.68, 10004,432.763,2018/07/26 21:28:44
3602714520,-.434,455.014,722.21,315.83,-5109.38,131.69, 10004,432.763,2018/07/26 21:28:45
3602714521,-.500,454.947,722.21,315.83,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:46
3602714522,-.509,454.938,722.21,315.83,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:47
3602714523,-.497,454.951,722.21,315.82,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:48
3602714524,-.472,454.975,722.15,315.82,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:49
3602714525,-.455,454.994,722.21,315.82,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:50
3602714526,-.471,454.977,722.21,315.82,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:51
3602714527,-.428,455.022,722.21,315.81,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:52
3602714528,-.429,455.021,722.21,315.82,-5110.18,131.69, 10004,432.763,2018/07/26 21:28:53
3602714529,-.435,455.015,722.21,315.81,-5109.38,131.68, 10004,432.763,2018/07/26 21:28:54
3602714530,-.468,454.979,722.15,315.81,-5110.18,131.68, 10004,432.763,2018/07/26 21:28:55
