% SensorRevision=2013-02-26 15:04
% SerialNumber=111002
% LaserColor=Blue
% AutoBaselineEnabled=true
% AutoBaselineStart=102
% AutoBaselineInterval=10
% AutoBaselineAveragingTime=10
% AutoBaselineFlushTime=45
% AutoSaveEnabled=true
% AutoSaveInterval=5
% ExactSampleTime=0.88
%       7     744    3280       1
%    3742      15      10      45
%      10     102       5       3
%   20000    2.50  834.00   98.81
%  -85.92   77.00   27.60     0.0
%     0.0     0.0     0.0     1.0
%     1.2  429.72    0.10  -27.80
%  142.30      10       4  111002
IgorTime,NO2,RawLoss,Pressure,Temperature,Signal,Unused,Status,LastBaseline,Timestamp
3602725458,1.332,455.644,722.15,307.63,-5327.36,132.78, 10004,430.953,2018/08/03 00:00:00
3602725459,1.213,455.513,721.95,307.62,-5326.57,132.78, 10004,430.953,2018/08/03 00:00:01
3602725460,1.264,455.571,722.08,307.62,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:02
3602725461,1.282,455.592,722.15,307.62,-5326.57,132.78, 10004,430.953,2018/08/03 00:00:03
3602725462,1.286,455.594,722.08,307.63,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:05
3602725463,1.347,455.658,722.08,307.63,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:06
3602725464,1.251,455.557,722.08,307.63,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:07
3602725465,1.285,455.592,722.08,307.63,-5328.15,132.77, 10004,430.953,2018/08/03 00:00:08
3602725466,1.264,455.573,722.15,307.63,-5327.36,132.78, 10004,430.953,2018/08/03 00:00:09
3602725467,1.310,455.619,722.08,307.63,-5327.36,132.78, 10004,430.953,2018/08/03 00:00:10
3602725468,1.317,455.626,722.08,307.63,-5327.36,132.78, 10004,430.953,2018/08/03 00:00:11
3602725469,1.297,455.604,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:12
3602725470,1.288,455.598,722.15,307.63,-5327.36,132.78, 10004,430.953,2018/08/03 00:00:13
3602725471,1.316,455.627,722.15,307.63,-5327.36,132.78, 10004,430.953,2018/08/03 00:00:14
3602725472,1.298,455.605,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:15
3602725473,1.289,455.595,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:16
3602725474,1.330,455.641,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:17
3602725475,1.318,455.626,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:18
3602725476,1.277,455.583,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:19
3602725477,1.282,455.591,722.15,307.64,-5328.15,132.78, 10004,430.953,2018/08/03 00:00:20
3602725478,1.281,455.590,722.15,307.64,-5327.36,132.78, 10004,430.953,2018/08/03 00:00:21
3602725480,1.262,455.567,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:22
3602725481,1.221,455.524,722.08,307.64,-5327.36,132.78, 10004,430.953,2018/08/03 00:00:23
3602725482,1.268,455.576,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:24
3602725483,1.272,455.580,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:25
3602725484,1.265,455.573,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:26
3602725485,1.304,455.611,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:27
3602725486,1.330,455.638,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:28
3602725487,1.288,455.595,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:29
3602725488,1.247,455.552,722.08,307.64,-5328.15,132.77, 10004,430.953,2018/08/03 00:00:30
3602725489,1.337,455.648,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:31
3602725490,1.331,455.642,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:32
3616099232,1.333,455.642,722.08,307.64,-5296.45,132.77, 10004,430.953,2018/08/03 00:00:34
3616099233,1.286,455.593,722.08,307.64,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:35
3616099234,1.269,455.574,722.08,307.64,-5327.36,132.76, 10004,430.953,2018/08/03 00:00:36
3616099235,1.282,455.588,722.08,307.64,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:37
3616099236,1.262,455.567,722.08,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:38
3616099237,1.312,455.622,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:39
3616099238,1.224,455.523,721.95,307.64,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:40
3616099239,1.272,455.577,722.08,307.64,-5327.36,132.76, 10004,430.953,2018/08/03 00:00:41
3616099241,1.291,455.593,721.95,307.64,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:42
3616099242,1.267,455.572,722.08,307.64,-5327.36,132.76, 10004,430.953,2018/08/03 00:00:43
3616099243,1.412,455.721,722.02,307.64,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:44
3616099244,1.331,455.639,722.08,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:45
3616099245,1.315,455.622,722.08,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:46
3616099246,1.301,455.608,722.08,307.64,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:47
3616099247,1.313,455.622,722.15,307.65,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:48
3616099248,1.274,455.577,722.02,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:49
3616099249,1.283,455.591,722.15,307.64,-5326.57,132.77, 10004,430.953,2018/08/03 00:00:50
3616099250,1.291,455.597,722.08,307.64,-5327.36,132.76, 10004,430.953,2018/08/03 00:00:51
3616099251,1.276,455.584,722.15,307.64,-5328.15,132.77, 10004,430.953,2018/08/03 00:00:52
3616099252,1.285,455.593,722.15,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:53
3616099253,1.236,455.540,722.08,307.65,-5327.36,132.76, 10004,430.953,2018/08/03 00:00:54
3616099254,1.231,455.534,722.08,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:55
3616099255,1.281,455.589,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:56
3616099256,1.282,455.586,722.02,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:57
3616099257,1.328,455.638,722.15,307.64,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:58
3616099258,1.265,455.570,722.08,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:00:59
3616099259,1.305,455.612,722.08,307.65,-5326.57,132.77, 10004,430.953,2018/08/03 00:01:00
3616099260,1.325,455.632,722.08,307.65,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:01
3616099261,1.332,455.639,722.08,307.65,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:02
3616099262,1.297,455.601,722.02,307.65,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:03
3616099263,1.297,455.605,722.15,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:04
3616099264,1.329,455.637,722.08,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:05
3616099265,1.307,455.615,722.15,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:06
3616099266,1.314,455.620,722.08,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:07
3616099267,1.322,455.630,722.08,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:08
3616099268,1.293,455.599,722.08,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:09
3616099269,1.343,455.641,721.82,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:10
3616099270,1.318,455.621,721.95,307.65,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:11
3616099271,1.243,455.542,721.95,307.65,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:12
3616099272,1.303,455.609,722.08,307.66,-5326.57,132.77, 10004,430.953,2018/08/03 00:01:13
3616099273,1.298,455.603,722.08,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:14
3616099274,1.339,455.647,722.08,307.66,-5328.15,132.76, 10004,430.953,2018/08/03 00:01:15
3616099275,1.321,455.624,721.95,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:16
3616099276,1.329,455.636,722.08,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:17
3616099277,1.306,455.610,722.02,307.66,-5326.57,132.77, 10004,430.953,2018/08/03 00:01:18
3616099278,1.248,455.550,722.02,307.66,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:19
3616099279,1.279,455.575,721.82,307.66,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:20
3616099280,1.361,455.665,721.95,307.67,-5326.57,132.77, 10004,430.953,2018/08/03 00:01:21
3616099281,1.390,455.698,722.02,307.66,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:22
3616099282,1.313,455.616,722.02,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:24
3616099283,1.320,455.626,722.08,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:25
3616099284,1.367,455.675,722.08,307.67,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:26
3616099285,1.327,455.634,722.08,307.67,-5328.15,132.77, 10004,430.953,2018/08/03 00:01:27
3616099286,1.342,455.649,722.08,307.67,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:28
3616099287,1.341,455.650,722.15,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:29
3616099288,1.326,455.636,722.15,307.66,-5326.57,132.77, 10004,430.953,2018/08/03 00:01:30
3616099289,1.386,455.695,722.08,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:31
3616099290,1.275,455.579,722.08,307.67,-5326.57,132.76, 10004,430.953,2018/08/03 00:01:32
3616099291,1.350,455.660,722.15,307.67,-5326.57,132.77, 10004,430.953,2018/08/03 00:01:33
3616099292,1.302,455.608,722.08,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:34
3616099293,1.369,455.676,722.02,307.67,-5326.57,132.76, 10004,430.953,2018/08/03 00:01:35
3616099294,1.349,455.654,722.02,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:36
3616099295,1.314,455.618,722.02,307.67,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:37
3616099296,1.363,455.671,722.08,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:38
3616099297,1.296,455.603,722.15,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:39
3616099298,1.297,455.602,722.08,307.67,-5327.36,132.77, 10004,430.953,2018/08/03 00:01:40
3616099299,1.336,455.638,721.95,307.67,-5326.57,132.76, 10004,430.953,2018/08/03 00:01:41
3616099300,1.309,455.607,721.88,307.67,-5326.57,132.77, 10004,430.953,2018/08/03 00:01:42
3616099301,1.339,455.648,722.15,307.67,-5326.57,132.77, 10004,430.953,2018/08/03 00:01:43
3616099302,1.312,455.617,722.08,307.67,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:44
3616099303,1.343,455.651,722.08,307.67,-5326.57,132.76, 10004,430.953,2018/08/03 00:01:45
3616099305,1.320,455.628,722.15,307.67,-5326.57,132.76, 10004,430.953,2018/08/03 00:01:46
3616099306,1.295,455.598,722.02,307.67,-5327.36,132.76, 10004,430.953,2018/08/03 00:01:47
