% SensorRevision=2013-02-26 15:04
% SerialNumber=111002
% LaserColor=Blue
% AutoBaselineEnabled=false
% AutoBaselineStart=521
% AutoBaselineInterval=10
% AutoBaselineAveragingTime=10
% AutoBaselineFlushTime=45
% AutoSaveEnabled=true
% AutoSaveInterval=5
% ExactSampleTime=0.88
%       7     744    3280       1
%    3742      15      10      45
%      10     521       5       3
%   20000    2.50  834.00   98.81
%  -85.92   77.00   27.60     0.0
%     0.0     0.0     0.0     1.0
%     1.2  428.20    0.10  -27.80
%  142.30      10       4  111002
IgorTime,NO2,RawLoss,Pressure,Temperature,Signal,Unused,Status,LastBaseline,Timestamp
3602714316,-.070,452.148,729.95,301.50,-5219.56,133.62, 00004,428.197,2018/08/12 01:21:40
3602714317,-.086,452.133,730.02,301.50,-5252.06,133.62, 00004,428.197,2018/08/12 01:21:41
3602714318,-.035,452.187,730.02,301.51,-5252.85,133.61, 00004,428.197,2018/08/12 01:21:42
3602714319,-.064,452.157,730.02,301.50,-5252.85,133.62, 00004,428.197,2018/08/12 01:21:43
3602714320,-.017,452.207,730.02,301.51,-5254.44,133.62, 00004,428.197,2018/08/12 01:21:44
3602714321,-.020,452.207,730.08,301.50,-5254.44,133.61, 00004,428.197,2018/08/12 01:21:45
3602714322,.041,452.268,729.95,301.52,-5254.44,133.61, 00004,428.197,2018/08/12 01:21:46
3602714323,-.019,452.205,730.02,301.52,-5254.44,133.62, 00004,428.197,2018/08/12 01:21:47
3602714324,-.029,452.196,730.08,301.52,-5255.23,133.62, 00004,428.197,2018/08/12 01:21:48
3602714325,.055,452.285,730.02,301.52,-5256.02,133.62, 00004,428.197,2018/08/12 01:21:49
3602714326,.074,452.305,730.02,301.52,-5256.02,133.61, 00004,428.197,2018/08/12 01:21:50
3602714327,.000,452.223,729.95,301.52,-5256.02,133.62, 00004,428.197,2018/08/12 01:21:51
3602714328,.104,452.335,729.95,301.52,-5256.82,133.61, 00004,428.197,2018/08/12 01:21:52
3602714329,.064,452.291,729.95,301.53,-5257.61,133.61, 00004,428.197,2018/08/12 01:21:53
3602714330,.015,452.240,730.02,301.53,-5256.82,133.61, 00004,428.197,2018/08/12 01:21:54
3602714331,2.229,454.630,730.02,301.53,-5257.61,133.61, 00004,428.197,2018/08/12 01:21:55
3602714332,2.703,455.140,729.95,301.53,-5290.90,133.61, 00004,428.197,2018/08/12 01:21:56
3602714333,2.654,455.088,730.02,301.54,-5295.66,133.61, 00004,428.197,2018/08/12 01:21:57
3602714334,2.651,455.085,730.02,301.54,-5295.66,133.61, 00004,428.197,2018/08/12 01:21:58
3602714335,2.675,455.110,730.02,301.54,-5296.45,133.61, 00004,428.197,2018/08/12 01:21:59
3602714336,2.648,455.079,729.95,301.54,-5296.45,133.61, 00004,428.197,2018/08/12 01:22:00
3602714337,2.607,455.039,730.08,301.54,-5296.45,133.61, 00004,428.197,2018/08/12 01:22:01
3602714338,2.613,455.042,730.02,301.55,-5297.24,133.60, 00004,428.197,2018/08/12 01:22:02
3602714339,2.563,454.991,730.08,301.55,-5297.24,133.60, 00004,428.197,2018/08/12 01:22:03
3602714340,2.640,455.072,730.02,301.55,-5297.24,133.61, 00004,428.197,2018/08/12 01:22:04
3602714341,2.588,455.018,730.08,301.56,-5297.24,133.60, 00004,428.197,2018/08/12 01:22:05
3602714342,2.567,454.995,730.08,301.56,-5297.24,133.60, 00004,428.197,2018/08/12 01:22:06
3602714343,2.555,454.981,730.08,301.56,-5297.24,133.61, 00004,428.197,2018/08/12 01:22:07
3602714344,2.545,454.971,730.08,301.56,-5298.03,133.61, 00004,428.197,2018/08/12 01:22:08
3602714345,2.566,454.993,730.08,301.56,-5298.03,133.60, 00004,428.197,2018/08/12 01:22:09
3602714346,2.528,454.953,730.08,301.56,-5298.03,133.60, 00004,428.197,2018/08/12 01:22:10
3602714347,2.508,454.930,730.08,301.57,-5298.03,133.61, 00004,428.197,2018/08/12 01:22:11
3602714348,2.540,454.964,730.08,301.57,-5298.03,133.60, 00004,428.197,2018/08/12 01:22:12
3602714349,2.496,454.915,730.02,301.57,-5298.03,133.60, 00004,428.197,2018/08/12 01:22:13
3602714350,2.597,455.026,730.08,301.58,-5298.03,133.60, 00004,428.197,2018/08/12 01:22:14
3602714351,2.474,454.892,730.08,301.58,-5298.03,133.58, 00004,428.197,2018/08/12 01:22:15
3602714352,2.506,454.927,730.08,301.58,-5298.03,133.60, 00004,428.197,2018/08/12 01:22:16
3602714353,2.505,454.926,730.08,301.58,-5298.03,133.60, 00004,428.197,2018/08/12 01:22:17
3602714354,2.462,454.880,730.08,301.58,-5298.03,133.60, 00004,428.197,2018/08/12 01:22:18
3602714355,2.458,454.875,730.08,301.58,-5298.83,133.60, 00004,428.197,2018/08/12 01:22:19
3602714356,2.545,454.968,730.08,301.59,-5298.83,133.60, 00004,428.197,2018/08/12 01:22:20
3602714357,2.491,454.907,730.02,301.60,-5298.83,133.60, 00004,428.197,2018/08/12 01:22:21
3602714358,2.476,454.894,730.08,301.59,-5299.62,133.60, 00004,428.197,2018/08/12 01:22:22
3602714359,2.510,454.930,730.08,301.60,-5299.62,133.60, 00004,428.197,2018/08/12 01:22:23
3602714360,2.474,454.891,730.08,301.60,-5299.62,133.60, 00004,428.197,2018/08/12 01:22:24
3602714361,2.484,454.901,730.08,301.60,-5299.62,133.60, 00004,428.197,2018/08/12 01:22:26
3602714362,2.463,454.879,730.08,301.60,-5299.62,133.58, 00004,428.197,2018/08/12 01:22:27
3602714363,2.453,454.867,730.08,301.60,-5298.83,133.58, 00004,428.197,2018/08/12 01:22:28
3602714364,2.459,454.872,730.02,301.60,-5299.62,133.60, 00004,428.197,2018/08/12 01:22:29
3602714365,2.437,454.848,730.02,301.61,-5299.62,133.58, 00004,428.197,2018/08/12 01:22:30
3602714366,2.436,454.849,730.08,301.61,-5299.62,133.58, 00004,428.197,2018/08/12 01:22:31
3602714367,2.509,454.924,730.02,301.62,-5299.62,133.58, 00004,428.197,2018/08/12 01:22:32
3602714368,2.455,454.866,730.02,301.62,-5300.41,133.58, 00004,428.197,2018/08/12 01:22:33
3602714369,2.426,454.838,730.08,301.62,-5299.62,133.58, 00004,428.197,2018/08/12 01:22:34
3602714371,2.386,454.794,730.08,301.62,-5300.41,133.58, 00004,428.197,2018/08/12 01:22:35
3602714372,2.468,454.882,730.08,301.62,-5300.41,133.58, 00004,428.197,2018/08/12 01:22:36
3602714373,2.479,454.896,730.15,301.62,-5300.41,133.57, 00004,428.197,2018/08/12 01:22:37
3602714374,2.438,454.851,730.15,301.63,-5300.41,133.57, 00004,428.197,2018/08/12 01:22:38
3602714375,2.422,454.831,730.08,301.63,-5300.41,133.58, 00004,428.197,2018/08/12 01:22:39
3602714376,2.479,454.893,730.08,301.63,-5300.41,133.58, 00004,428.197,2018/08/12 01:22:40
3602714377,2.481,454.892,730.02,301.64,-5301.20,133.58, 00004,428.197,2018/08/12 01:22:41
3602714378,2.472,454.885,730.08,301.64,-5302.00,133.58, 00004,428.197,2018/08/12 01:22:42
3602714379,2.428,454.834,730.02,301.65,-5302.00,133.57, 00004,428.197,2018/08/12 01:22:43
3602714380,2.419,454.827,730.08,301.65,-5301.20,133.58, 00004,428.197,2018/08/12 01:22:44
3602714381,2.401,454.810,730.15,301.65,-5301.20,133.57, 00004,428.197,2018/08/12 01:22:45
3602714382,2.383,454.788,730.08,301.65,-5302.00,133.58, 00004,428.197,2018/08/12 01:22:46
3602714383,2.419,454.826,730.08,301.65,-5302.00,133.57, 00004,428.197,2018/08/12 01:22:47
3602714384,2.422,454.829,730.08,301.66,-5302.00,133.57, 00004,428.197,2018/08/12 01:22:48
3602714385,2.427,454.835,730.08,301.66,-5302.00,133.57, 00004,428.197,2018/08/12 01:22:49
3602714386,2.470,454.882,730.08,301.66,-5302.00,133.57, 00004,428.197,2018/08/12 01:22:50
3602714387,2.367,454.767,730.02,301.67,-5302.00,133.57, 00004,428.197,2018/08/12 01:22:51
3602714388,2.444,454.852,730.08,301.67,-5302.00,133.57, 00004,428.197,2018/08/12 01:22:52
3602714389,2.385,454.788,730.08,301.67,-5302.79,133.57, 00004,428.197,2018/08/12 01:22:53
3602714390,2.358,454.761,730.15,301.67,-5302.79,133.57, 00004,428.197,2018/08/12 01:22:54
3602714391,2.370,454.774,730.15,301.67,-5303.58,133.57, 00004,428.197,2018/08/12 01:22:55
3602714392,2.387,454.790,730.08,301.68,-5302.79,133.57, 00004,428.197,2018/08/12 01:22:56
3602714393,2.477,454.889,730.15,301.68,-5302.79,133.56, 00004,428.197,2018/08/12 01:22:57
3602714394,2.422,454.829,730.15,301.69,-5303.58,133.56, 00004,428.197,2018/08/12 01:22:58
3602714395,2.392,454.794,730.08,301.69,-5303.58,133.56, 00004,428.197,2018/08/12 01:22:59
