O3,a,b,c,date,timestamp

37.3,41.3,952.5,713,26/07/18,23:18:01
37.5,41.3,952.6,704,26/07/18,23:18:11
37.4,41.3,952.5,702,26/07/18,23:18:21
35.9,41.3,952.5,703,26/07/18,23:18:31
35.9,41.3,952.6,704,26/07/18,23:18:41
36.7,41.3,952.6,704,26/07/18,23:18:51
36.0,41.3,952.5,701,26/07/18,23:19:01
35.0,41.3,952.6,707,26/07/18,23:19:11
35.6,41.3,952.5,711,26/07/18,23:19:21
37.6,41.3,952.6,704,26/07/18,23:19:31
37.9,41.3,952.6,712,26/07/18,23:19:41
38.2,41.3,952.6,708,26/07/18,23:19:51
38.2,41.3,952.6,707,26/07/18,23:20:01
35.8,41.3,952.5,697,26/07/18,23:20:11
35.8,41.3,952.6,708,26/07/18,23:20:21
37.6,41.3,952.6,705,26/07/18,23:20:31
36.7,41.3,952.6,702,26/07/18,23:20:41
35.8,41.3,952.6,711,26/07/18,23:20:51
35.8,41.3,952.6,702,26/07/18,23:21:01
35.8,41.3,952.6,707,26/07/18,23:21:11
35.8,41.3,952.6,699,26/07/18,23:21:21
34.7,41.2,952.6,699,26/07/18,23:21:31
34.3,41.2,952.6,701,26/07/18,23:21:41
35.1,41.2,952.6,704,26/07/18,23:21:51
35.7,41.2,952.6,702,26/07/18,23:22:01
36.8,41.2,952.7,703,26/07/18,23:22:11
37.4,41.2,952.6,698,26/07/18,23:22:21
37.0,41.2,952.6,705,26/07/18,23:22:31
33.6,41.2,952.6,711,26/07/18,23:22:41
32.8,41.2,952.6,708,26/07/18,23:22:51
35.3,41.2,952.6,709,26/07/18,23:23:01
34.9,41.2,952.6,702,26/07/18,23:23:11
34.5,41.2,952.6,694,26/07/18,23:23:21
34.7,41.2,952.6,703,26/07/18,23:23:31
34.3,41.2,952.6,710,26/07/18,23:23:41
35.6,41.2,952.6,701,26/07/18,23:23:51
36.6,41.2,952.6,707,26/07/18,23:24:01
36.6,41.2,952.6,701,26/07/18,23:24:11
36.1,41.2,952.6,709,26/07/18,23:24:21
10.5,41.2,952.6,702,26/07/18,23:24:31
10.8,41.2,952.6,700,26/07/18,23:24:41
34.9,41.2,952.6,703,26/07/18,23:24:51
34.4,41.1,952.6,696,26/07/18,23:25:01
35.5,41.1,952.6,704,26/07/18,23:25:11
35.8,41.1,952.6,709,26/07/18,23:25:21
34.6,41.1,952.6,707,26/07/18,23:25:31
36.0,41.1,952.6,711,26/07/18,23:25:41
36.1,41.1,952.4,728,26/07/18,23:25:51
