Scent concentration,Manduca response (mV),Scent concentration,Hyles response (mV)
0.0001,26.6234155,1.00E-06,15.759836
0.001,52.787805,1.00E-05,18.820002
0.01,62.73333,0.0001,30.754635
0.1,71.607805,0.001,43.60732
0.3,89.81577,0.01,37.64
1,102.209435,0.1,43.760325
3,101.13838,0.3,46.20846
1.00E-06,10.557561,1,47.12651
1.00E-05,14.229757,3,49.115615
0.0001,28.153495,1.00E-06,10.557561
0.001,61.05024,1.00E-05,11.1695935
0.01,59.367155,0.0001,22.645202
0.1,73.2909,0.001,36.262925
0.3,81.247315,0.01,31.82569
1,73.596915,0.1,38.252035
3,76.35106,0.3,42.842275
1.00E-06,11.6286185,1,40.241135
1.00E-05,17.595936,3,42.842275
0.0001,24.7873175,1.00E-06,9.333496
0.001,39.32309,1.00E-05,11.1695935
0.01,35.497885,0.0001,22.645202
0.1,57.68406,0.001,36.262925
0.3,60.744225,0.01,31.82569
1,62.27431,0.1,38.252035
3,71.76082,0.3,42.842275
1.00E-06,11.322602,1,40.241135
1.00E-05,12.5466675,3,42.842275
0.0001,27.08244,1.00E-06,12.393659
0.001,54.77691,1.00E-05,9.4865044
0.01,54.623905,0.0001,12.699675
0.1,63.80439,0.001,19.1260155
0.3,64.416425,0.01,16.5248785
1,88.438695,0.1,20.656101
3,82.318375,0.3,20.6560985
1.00E-06,11.1695935,1.00E-06,6.12032565
1.00E-05,14.688781,1.00E-05,5.81430915
0.0001,34.273825,0.0001,9.9455285
0.001,65.028455,0.001,17.289919
0.01,58.90813,0.01,15.912846
0.1,67.935615,0.1,21.115124
0.3,72.831865,0.3,21.268134
1,78.03415,1,16.6778865
3,87.520655,3,27.541465
1.00E-06,12.0876415,1.00E-06,7.4973984
1.00E-05,17.901954,1.00E-05,6.2733334
0.0001,26.92943,0.0001,17.748944
0.001,43.148295,0.001,27.847485
0.01,37.02797,0.01,18.0549625
0.1,52.634795,0.1,31.36667
0.3,44.06634,0.3,31.3666685
1,42.84228,1,28.3065
3,54.4709,3,32.131705
1.00E-06,15.1478055,1.00E-06,7.6504065
1.00E-05,16.5248805,1.00E-05,6.885366
0.0001,31.36667,0.0001,14.0767495
0.001,45.44342,0.001,15.6068295
0.01,60.591225,0.01,14.2297565
0.1,62.274315,0.1,16.9839035
0.3,64.110405,0.3,16.524879
1,74.05594,1,18.9730115
3,89.35675,1.00E-06,8.721464
1.00E-06,11.781626,1.00E-05,6.885366
1.00E-05,17.2899215,0.0001,12.393659
0.0001,26.470405,0.001,22.95122
0.001,47.43252,0.01,23.410245
0.01,49.57463,0.1,29.683575
0.1,66.864555,0.3,31.519675
0.3,73.749915,1,32.89675
1,79.87025,3,28.91854
3,90.274795,1.00E-06,7.4973985
1.00E-06,9.02748,1.00E-05,7.803415
1.00E-05,12.240651,0.0001,12.6996755
0.0001,26.929435,0.001,18.05496
0.001,46.361465,0.01,14.2297565
0.01,38.099025,0.1,17.4429275
0.1,64.110405,0.3,19.126017
0.3,59.214145,1,17.5959375
1,58.90813,3,19.585044
3,72.066835,1.00E-06,11.47561
1.00E-06,8.8744715,1.00E-05,11.0165855
1.00E-05,8.8744715,0.0001,16.6778875
0.0001,13.4647145,0.001,23.410245
0.001,37.64,0.01,23.104229
0.01,37.640005,0.1,27.541465
0.1,54.6239,0.3,30.1426
0.3,55.388945,1,36.10992
1,49.72764,3,35.03886
3,82.165365,1.00E-06,17.289919
1.00E-06,15.147804,1.00E-05,14.0767485
1.00E-05,16.065853,0.0001,16.371874
0.0001,15.453822,0.001,18.8200015
0.001,26.6234155,0.01,16.371871
0.01,23.716265,0.1,25.093334
0.1,32.13171,0.3,21.880164
0.3,33.8148,1,22.798215
3,39.323085,3,23.56325
1.00E-06,13.1586995,1.00E-06,16.9839055
1.00E-05,11.322602,1.00E-05,16.524879
0.0001,14.688781,0.0001,24.78732
0.001,20.044066,0.001,32.284715
0.01,25.093334,0.01,29.071545
0.1,41.3122,0.1,34.42683
0.3,50.645695,0.3,31.21366
1,41.312195,1,33.661785
3,52.787805,3,33.8148
1.00E-06,17.4429285,1.00E-06,11.1695935
1.00E-05,8.568455,1.00E-05,14.994797
0.0001,17.748946,0.0001,22.798215
0.001,35.03886,0.001,31.06065
0.01,34.273815,0.01,30.601625
0.1,39.17008,0.1,35.803905
0.3,63.49838,0.3,33.967805
1,55.08293,1,43.60732
3,63.498375,3,47.27951
1.00E-06,13.9237405,1.00E-06,11.169594
1.00E-05,20.0440635,1.00E-05,12.852684
0.0001,22.9512175,0.0001,18.360977
0.001,36.721955,0.001,24.328295
0.01,34.120815,0.01,23.257235
0.1,31.825685,0.1,26.623415
0.3,54.470895,0.3,28.61252
1,49.42163,1,33.9678
3,39.93512,3,36.41593
1.00E-06,13.9237405,1.00E-06,5.2022765
1.00E-05,16.3718705,1.00E-05,7.0383744
0.0001,24.02228,0.0001,13.158701
0.001,40.394145,0.001,20.0440665
0.01,47.12651,0.01,16.983903
0.1,73.59691,0.1,22.339184
0.3,59.67317,0.3,23.104225
1,93.487965,1,22.95122
3,105.422605,3,24.940325
1.00E-06,18.360977,1.00E-06,5.35528465
1.00E-05,7.34439025,1.00E-05,6.5793495
0.0001,9.9455285,0.0001,8.721463
0.001,32.5907325,0.001,11.0165855
0.01,30.142605,0.01,12.393659
0.1,29.836585,0.1,12.2406505
0.3,35.344875,0.3,10.557561
1,64.263415,1,10.404553
3,38.405045,3,11.9346345
1.00E-06,10.710569,1.00E-06,9.180488
1.00E-05,11.628618,1.00E-05,10.863578
0.0001,19.58504,0.0001,21.880159
0.001,30.60162,0.001,32.437725
0.01,50.492685,0.01,29.68358
0.1,58.755125,0.1,28.45951
0.3,60.89724,0.3,22.6452065
1,69.92471,1,16.8308955
3,75.43301,3,18.0549625
1.00E-06,18.82,1.00E-06,6.1203253
1.00E-05,11.0165855,1.00E-05,8.2624395
0.0001,18.973012,0.0001,18.513987
0.001,28.918535,0.001,25.858375
0.01,31.825695,0.01,23.563255
0.1,44.678375,0.1,32.437725
0.3,73.90293,0.3,31.978695
1,56.153985,1,36.87496
3,60.43821,3,39.170085
